
ádfasdf	ádfasdfasdf
ago	trước đây
agree	đồng ý, tán thành
agreement	sự đồng ý, tán thành; hiệp định, hợp đồng
ahead	trước, về phía trước
aid	/eid/ sự giúp đỡ; thêm vào, phụ vào
aim	/eim/ sự nhắm (bắn), mục tiêu, ý định; nhắm, tập trung, hướng vào
air	không khí, bầu không khí, không gian
aircraft	máy bay, khí cầu
airport	bay, phi trường
alarm	/ə'lɑ:m/ báo động, báo nguy
alarmed	/ə'lɑ:m/
alarming	làm lo sợ, làm hốt hoảng, làm sợ hãi
alcohol	rượu cồn
alcoholic	/,ælkə'hɔlik/ rượu; người nghiện rượu
alive	sống, vẫn còn sống, còn tồn tại
all	adv. /ɔ:l/ tất cả
all-right	exclamation /'ɔ:l'rait/ tốt, ổn, khỏe mạnh; được
allied	lien minh, đồng minh, thông gia
allow	cho phép, để cho
ally	/'æli/ nước đồng minh, liên minh; liên kết, lien minh, kết thông gia
almost	hầu như, gần như
alone	/ə'loun/ cô đơn, một mình
along	/ə'lɔɳ/ dọc theo, theo; theo chiều dài, suốt theo
alongside	/ə'lɔɳ'said/ sát cạnh, kế bên, dọc theo
aloud	lớn tiếng, to tiếng
alphabet	bảng chữ cái, bước đầu, điều cơ bản
alphabetical	thuộc bảng chứ cái
alphabetically	theo thứ tự abc
already	đã, rồi, đã… rồi
also	cũng, cũng vậy, cũng thế
alter	thay đổi, biến đổi, sửa đổi
alternative	/ɔ:l'tə:nətiv/ sự lựa chọn; lựa chọn
alternatively	một sự lựa chọn
although	mặc dù, dẫu cho
altogether	hoàn toàn, hầu như; nói chung
always	luôn luôn
amaze	làm ngạc nhiên, làm sửng sốt
amazed	kinh ngạc, sửng sốt
amazing	kinh ngạc, sửng sốt
ambition	hoài bão, khát vọng
ambulance	xe cứu thương, xe cấp cứu
among	prep. /ə'mʌɳ/ giữa, ở giữa
amount	/ə'maunt/ số lượng, số nhiều; lên tới (money)
amuse	làm cho vui, thích, làm buồn cười
amused	vui thích
amusing	vui thích
analyse	analyze) v. /'ænəlaiz/ phân tích
analysis	sự phân tích
ancient	xưa, cổ
and	ənd, ən/ và
anger	sự tức giận, sự giận dữ
angle	góc
angrily	tức giận, giận dữ
angry	giận, tức giận
animal	động vật, thú vật
ankle	mắt cá chân
anniversary	ngày, lễ kỉ niệm
announce	báo, thông báo
annoy	chọc tức, làm bực mình; làm phiền, quẫy nhiễu
annoyed	bị khó chịu, bực mình, bị quấy rầy
annoying	chọc tức, làm bực mình; làm phiền, quẫy nhiễu
annual	hàng năm, từng năm
annually	hàng năm, từng năm
another	/ə'nʌðə/ khác
answer	/'ɑ:nsə/ sự trả lời; trả lời
anti-	chống lại
anticipate	thấy trước, chặn trước, lường trước
anxiety	mối lo âu, sự lo lắng
anxious	lo âu, lo lắng, băn khoăn
anxiously	lo âu, lo lắng, băn khoăn
any	adv. một người, vật nào đó; bất cứ; một chút nào, tí nào
anyone	pron. /'eniwʌn/ người nào, bất cứ ai
anything	việc gì, vật gì; bất cứ việc gì, vật gì
anyway	thế nào cũng được, dù sao chăng nữa
anywhere	bất cứ chỗ nào, bất cứ nơi đâu
apart	về một bên, qua một bên
apart	aside from especially in NAmE) prep. ngoài…ra
apart	ngoài… ra
apartment	NAmE) /ə'pɑ:tmənt/ căn phòng, căn buồng
apologize	-ise) v. /ə'pɔlədʤaiz/ xin lỗi, tạ lỗi
apparent	rõ ràng, rành mạch; bề ngoài, có vẻ
apparently	bên ngoài, hình như
appeal	/ə'pi:l/ sự kêu gọi, lời kêu gọi; kêu gọi, cầu khẩn
appear	xuất hiện, hiện ra, trình diện
appearance	sự xuất hiện, sự trình diện
apple	quả táo
application	sự gắn vào, vật gắn vào; sự chuyên cần, chuyên tâm
apply	gắn vào, ghép vào, áp dụng vào
appoint	bổ nhiệm, chỉ định, chọn
appointment	sự bổ nhiệm, người được bổ nhiệm
appreciate	thấy rõ; nhận thức
approach	/ə'proutʃ/ đến gần, lại gần; sự đến gần, sự lại gần
appropriate	for) /ə'proupriit/ thích hợp, thích đáng
approval	sự tán thành, đồng ý, sự chấp thuận
approve	/ə'pru:v/ tán thành, đồng ý, chấp thuận
approving	tán thành, đồng ý, chấp thuận
approximate	/ə'prɔksimit/ giống với, giống hệt với
approximately	khoảng chừng, độ chừng
april	Apr.) /'eiprəl/ tháng Tư
area	diện tích, bề mặt
argue	chứng tỏ, chỉ rõ
argument	lý lẽ
arise	xuất hiện, nảy ra, nảy sinh ra
arm	/ɑ:m/ cánh tay; vũ trang, trang bị (vũ khí)
armed	vũ trang
arms	khí, binh giới, binh khí
army	quân đội
around	/ə'raund/ xung quanh, vòng quanh
arrange	sắp xếp, sắp đặt, sửa soạn
arrangement	sự sắp xếp, sắp đặt, sự sửa soạn
arrest	/ə'rest/ bắt giữ, sự bắt giữ
arrival	sự đến, sự tới nơi
arrive	in) /ə'raiv/ đến, tới nơi
arrow	tên, mũi tên
art	nghệ thuật, mỹ thuật
article	bài báo, đề mục
artificial	nhân tạo
artificially	nhân tạo
artist	nghệ sĩ
artistic	thuộc nghệ thuật, thuộc mỹ thuật
as	conj. /æz, əz/ như (as you know…)
as	ngay khi
as	cũng, cũng như
ashamed	ngượng, xấu hổ
aside	về một bên, sang một bên
aside	ra, trừ ra
ask	hỏi
asleep	ngủ, đang ngủ
aspect	vẻ bề ngoài, diện mạo
assist	giúp, giúp đỡ; tham dự, có mặt
assistance	sự giúp đỡ
assistant	/ə'sistənt/ người giúp đỡ, người phụ tá; giúp đỡ, phụ tá
associate	kết giao, liên kết, kết hợp, cho cộng tác
associated	liên kết với
association	sự kết hợp, sự liên kết
assume	mang, khoác, có, lấy (cái vẻ, tính chất…)
assure	đảm bảo, cam đoan
at	tiếp
at	ra, ít nhất, chí ít
atmosphere	khí quyển
atom	nguyên tử
attach	gắn, dán, trói, buộc
attached	gắn bó
attack	/ə'tæk/ sự tấn công, sự công kích; tấn công, công kích
attempt	/ə'tempt/ sự cố gắng, sự thử; cố gắng, thử
attempted	cố gắng, thử
attend	dự, có mặt
attention	sự chú ý
attitude	thái độ, quan điểm
attorney	NAmE) /ə'tə:ni/ người được ủy quyền
attract	hút; thu hút, hấp dẫn
attraction	sự hút, sức hút
attractive	hút, thu hút, có duyên, lôi cuốn
audience	thính, khan giả
august	Aug.) /'ɔ:gəst - ɔ:'gʌst/ tháng Tám
aunt	cô, dì
author	tác giả
authority	uy quyền, quyền lực
automatic	tự động
automatically	cách tự động
autumn	BrE) /'ɔ:təm/ mùa thu (US: mùa thu là fall)
available	có thể dùng được, có giá trị, hiệu lực
average	/'ævəridʤ/ trung bình, số trung bình, mức trung bình
avoid	tránh, tránh xa
awake	đánh thức, làm thức dậy
award	/ə'wɔ:d/ phần thưởng; tặng, thưởng
aware	biết, nhận thức, nhận thức thấy
away	xa, xa cách, rời xa, đi xa
awful	oai nghiêm, dễ sợ
awfully	khốc, khủng khiếp
awkward	vụng về, lung túng
awkwardly	về, lung túng
back	adv., v. /bæk/ lưng, về phía sau, trở lại
background	phía sau; nền
backward	về phía sau, lùi lại
backwards	especially in NAmE) adv. /'bækwədz/
bacteria	vi khuẩn
bad	xấu, tồi
bad-tempered	xấu tính, dễ nổi cáu
badly	xấu, tồi
bag	bao, túi, cặp xách
baggage	NAmE) /'bædidʤ/ hành lý
bake	nung, nướng bằng lò
balance	/'bæləns/ cái cân; làm cho cân bằng, tương xứng
ball	quả bóng
ban	/bæn/ cấm, cấm chỉ; sự cấm
band	băng, đai, nẹp
bandage	/'bændidʤ/ dải băng; băng bó
bank	bờ (sông…) , đê
bar	quán bán rượu
bargain	sự mặc cả, sự giao kèo mua bán
barrier	đặt chướng ngại vật
base	/beis/ cơ sở, cơ bản, nền móng; đặt tên, đặt cơ sở trên cái gì
based	dựa trên
basic	cơ bản, cơ sở
basically	cơ bản, về cơ bản
basis	nền tảng, cơ sở
bath	sự tắm
bathroom	tắm, nhà vệ sinh
battery	pin, ắc quy
battle	trận đánh, chiến thuật
bay	gian (nhà), nhịp (cầu), chuồng (ngựa); bays: vòng nguyệt quế
be-called	bị gọi
be-going	sửa, có ý định
be-sick	ốm
beach	bãi biển
beak	mỏ chim
bear	mang, cầm, vác, đeo, ôm
beard	râu
beat	/bi:t/ tiếng đập, sự đập; đánh đập, đấm
beautiful	đẹp
beautifully	tốt đẹp, đáng hài lòng
beauty	vẻ đẹp, cái đẹp; người đẹp
because	bởi vì, vì
because	vì, do bởi
become	trở thành, trở nên
bed	cái giường
bedroom	phòng ngủ
beef	thịt bò
beer	rượu bia
before	adv. /bi'fɔ:/ trước, đằng trước
begin	bắt đầu, khởi đầu
beginning	phần đầu, lúc bắt đầu, lúc khởi đầu
behalf	/bi:hɑ:f/ sự thay mặt
behave	đối xử, ăn ở, cư xử
behaviour	behavior) n.
behind	/bi'haind/ sau, ở đằng sau
belief	lòng tin, đức tin, sự tin tưởng
believe	tin, tin tưởng
bell	cái chuông, tiếng chuông
belong	thuộc về, của, thuộc quyền sở hữu
below	/bi'lou/ ở dưới, dưới thấp, phía dưới
belt	dây lưng, thắt lưng
bend	/bentʃ/ chỗ rẽ, chỗ uốn; khuỷu tay; cúi xuống, uốn cong
beneath	/bi'ni:θ/ ở dưới, dưới thấp
benefit	/'benifit/ lợi, lợi ích; giúp ích, làm lợi cho
bent	khiếu, sở thích, khuynh hướng
beside	bên cạnh, so với
bet	/bet/ đánh cuộc, cá cược; sự đánh cuộc
better,	/best/ tốt hơn, tốt nhất
betting	sự đánh cuộc
between	/bi'twi:n/ giữa, ở giữa
beyond	/bi'jɔnd/ ở xa, phía bên kia
bicycle	n. /'baisikl/ xe đạp
bid	/bid/ đặt giá, trả giá; sự đặt giá, sự trả giá
big	to, lớn
bill	hóa đơn, giấy bạc
bin	/bin/ thùng, thùng đựng rượu
biology	sinh vật học
bird	chim
birth	sự ra đời, sự sinh đẻ
birthday	ngày sinh, sinh nhật
biscuit	/'biskit/ bánh quy
bit	BrE) /bit/ miếng, mảnh
bite	/bait/ cắn, ngoạm; sự cắn, sự ngoạm
bitter	đắng; đắng cay, chua xót
bitterly	đắng, đắng cay, chua xót
black	/blæk/ đen; màu đen
blade	lưỡi (dao, kiếm); lá (cỏ, cây); mái (chèo); cánh (chong chóng)
blame	/bleim/ khiển trách, mắng trách; sự khiển trách, sự mắng trách
blank	/blæɳk/ trống, để trắng; sự trống rỗng
blankly	ngây ra, không có thần
blind	đui, mù
block	/blɔk/ khối, tảng (đá); làm ngăn cản, ngăn chặn
blonde	blond adj. /blɔnd/ hoe vàng, mái tóc hoe vàng
blood	máu, huyết; sự tàn sát, chem giết
blow	/blou/ nở hoa; sự nở hoa
blue	/blu:/ xanh, màu xanh
board	/bɔ:d/ tấm ván; lát ván, lót ván
boat	tàu, thuyền
body	thân thể, thân xác
boil	sôi, luộc
bomb	/bɔm/ quả bom; oánh bom, thả bom
bone	xương
book	/buk/ sách; ghi chép
boot	giày ống
border	bờ, mép, vỉa, lề (đường)
bore	buồn chán, buồn tẻ
bored	chán
boring	buồn chán
born:	v. /bɔ:n/ sinh, đẻ
borrow	vay, mượn
boss	ông chủ, thủ trưởng
both	/bouθ/ cả hai
bother	làm phiền, quấy rầy, làm bực mình
bottle	chai, lọ
bottom	/'bɔtəm/ phần dưới cùng, thấp nhất; cuối, cuối cùng
bound	to /baund/ nhất định, chắc chắn
bowl	cái bát
box	hộp, thùng
boy	con trai, thiếu niên
boyfriend	trai
brain	óc não; đầu óc, trí não
branch	ngành; nhành cây, nhánh song, ngả đường
brand	nhãn (hàng hóa)
brave	gan dạ, can đảm
bread	bánh mỳ
break	/breik/ bẻ gãy, đập vỡ; sự gãy, sự vỡ
breakfast	bữa điểm tâm, bữa sáng
breast	ngực, vú
breath	hơi thở, hơi
breathe	hít, thở
breathing	sự hô hấp, sự thở
breed	/bri:d/ nuôi dưỡng, chăm sóc, giáo dục; sinh đẻ; nòi giống
brick	gạch
bridge	cái cầu
brief	ngắn, gọn, vắn tắt
briefly	ngắn, gọn, vắn tắt, tóm tắt
bright	sáng, sáng chói
brightly	sáng chói, tươi
brilliant	tỏa sáng, rực rỡ, chói lọi
bring	mang, cầm , xách lại
broad	rộng
broadcast	/'brɔ:dkɑ:st/ tung ra khắp nơi,truyền rộng rãi; phát thanh, quảng bá
broadly	rộng, rộng rãi
broken	bị gãy, bị vỡ
brother	anh, em trai
brown	/braun/ nâu, màu nâu
brush	/brΔ∫/ bàn chải; chải, quét
bubble	bong bóng, bọt, tăm
budget	ngân sách
build	xây dựng
building	sự xây dựng, công trình xây dựng; tòa nhà binđinh
bullet	đạn (súng trường, súng lục)
bunch	búi, chùm, bó, cụm, buồng; bầy, đàn (AME)
burn	đốt, đốt cháy, thắp, nung, thiêu
burnt	bị đốt, bị cháy, khê; rám nắng, sạm (da)
burst	nổ, nổ tung (bom, đạn); nổ, vỡ (bong bóng); háo hức
bury	chôn cất, mai táng
bus	xe buýt
bush	bụi cây, bụi rậm
business	việc buôn bán, thương mại, kinh doanh
businessman,	thương nhân
busy	bận, bận rộn
but	nhưng
butter	 bơ
button	cái nút, cái khuy, cúc
buy	mua
buyer	người mua
by	/bai/ bởi, bằng
by	bằng phương tiện
bye	tạm biệt
cabinet	tủ có nhiều ngăn đựng đồ
cable	dây cáp
cake	bánh ngọt
calculate	 tính toán
calculation	sự tính toán
call	 /kɔ:l/ gọi; tiếng kêu, tiếng gọi
calm	n. /kɑ:m/ yên lặng, làm dịu đi; sự yên lặng, sự êm ả
calmly	yên lặng, êm ả; bình tĩnh, điềm tĩnh
camera	máy ảnh
camp	/kæmp/ trại, chỗ cắm trại; cắm trại, hạ trại
campaign	chiến dịch, cuộc vận động
camping	sự cắm trại
can	n. /kæn/ có thể; nhà tù, nhà giam, bình, ca đựng
cancel	hủy bỏ, xóa bỏ
cancer	bệnh ung thư
candidate	người ứng cử, thí sinh, người dự thi
candy	/´kændi/ kẹo
cannot	thể
cap	mũ lưỡi trai, mũ vải
capable	/'keipәb(ә)l/  có tài, có năng lực; có khả năng, cả gan
capacity	năng lực, khả năng tiếp thu, năng suất
capital	/ˈkæpɪtl/  thủ đô, tiền vốn; chủ yếu, chính yếu, cơ bản
captain	người cầm đầu, người chỉ huy, thủ lĩnh
capture	/'kæptʃə/ bắt giữ, bắt; sự bắt giữ, sự bị bắt
car	xe hơi
card	thẻ, thiếp
cardboard	bìa cứng, các tông
care	/kɛər/ sự chăm sóc, chăm nom; chăm sóc
care	nom, chăm sóc
career	 nghề nghiệp, sự nghiệp
careful	cẩn thận, cẩn trọng, biết giữ gìn
carefully	cẩn thận, chu đáo
careless	sơ suất, cầu thả
carelessly	thả, bất cẩn
carpet	tấm thảm, thảm (cỏ)
carrot	củ cà rốt
carry	 mang, vác, khuân chở
case	vỏ, ngăn, túi
cash	tiền, tiền mặt
cast	/kɑ:st/ quăng, ném, thả, đánh gục; sự quăng, sự ném (lưới), sự thả (neo)
castle	thành trì, thành quách
cat	con mèo
catch	bắt lấy, nắm lấy, tóm lấy, chộp lấy
category	hạng, loại; phạm trù
cause	/kɔ:z/ nguyên nhân, nguyên do; gây ra, gây nên
cease	dừng, ngừng, ngớt, thôi, hết, tạnh
ceiling	trần nhà
celebrate	kỷ niệm, làm lễ kỷ niệm; tán dương, ca tụng
celebration	 sự kỷ niệm, lễ kỷ niệm; sự tán dương, sự ca tụng
cell	ô, ngăn
cellphone	phone) n. (especially NAmE) điện thoại di động
cent	xu (bằng 1/100 đô la)
cent	c, ct) /sent/ đồng xu (=1/100 đô la)
centimetre	centimeter) n. (abbr. cm)  xen ti met
centimetre	ti mét
central	trung tâm, ở giữa, trung ương
centre	center) n. /'sentə/ điểm giữa, trung tâm, trung ương
century	thế kỷ
ceremony	nghi thức, nghi lễ
certain	/'sə:tn/ chắc chắn
certainly	chắc chắn, nhất định
certificate	 giấy chứng nhận, bằng, chứng chỉ
chain	/tʃeɪn/ dây, xích; xính lại, trói lại
chair	 ghế
chairman,	/'tʃeəmən/ /'tʃeə,wumən/ chủ tịch, chủ tọa
challenge	/'tʃælindʤ/ sự thử thách, sự thách thức; thách thức, thử thách
chamber	buồng, phòng, buồng ngủ
chance	, tʃɑ:ns/ sự may mắn
change	/tʃeɪndʒ/ thay đổi, sự thay đổi, sự biến đổi
channel	kênh (TV, radio), eo biển
chapter	chương (sách)
character	tính cách, đặc tính, nhân vật
characteristic	/¸kærəktə´ristik/ riêng, riêng biệt, đặc trưng, đặc tính, đặc điểm
charge	/tʃɑ:dʤ/ nhiệm vụ, bổn phận, trách nhiệm; giao nhiệm vụ, giao việc
charity	lòng từ thiện, lòng nhân đức; sự bố thí
chart	/tʃa:t/ đồ thị, biểu đồ; vẽ đồ thị, lập biểu đồ
chase	/tʃeis/ săn bắt; sự săn bắt
chat	/tʃæt/  nói chuyện, tán gẫu; chuyện phiếm, chuyện gẫu
cheap	rẻ
cheaply	rẻ tiền
cheat	/tʃit/  lừa, lừa đảo; trò lừa đảo, trò gian lận
check	/tʃek/  kiểm tra; sự kiểm tra
cheek	má
cheerful	vui mừng, phấn khởi, hồ hởi
cheerfully	vẻ, phấn khởi
cheese	pho mát
chemical	/ˈkɛmɪkəl/  thuộc hóa học; chất hóa học, hóa chất
chemist	nhà hóa học
chemistry	hóa học, môn hóa học, ngành hóa học
chemist’s	(BrE)
cheque	(NAmE check) /t∫ek/ séc
chest	tủ, rương, hòm
chew	nhai, ngẫm nghĩ
chicken	gà, gà con, thịt gà
chief	/tʃi:f/ trọng yếu, chính yếu; thủ lĩnh, lãnh tụ, người đứng đầu, xếp
child	đứa bé, đứa trẻ
chin	cằm
chip	vỏ bào, mảnh vỡ, chỗ sứt, mẻ
chocolate	sô cô la
choice	 sự lựa chọn
choose	chọn, lựa chọn
chop	chặt, đốn, chẻ
church	nhà thờ
cigarette	điếu thuốc lá
cinema	BrE) /ˈsɪnəmə/ rạp xi nê, rạp chiếu bóng
circle	 đường tròn, hình tròn
circumstance	, ˈsɜrkəmˌstəns/  hoàn cảnh, trường hợp, tình huống
citizen	người thành thị
city	thành phố
civil	 (thuộc) công dân
claim	/kleim/ đòi hỏi, yêu sách; sự đòi hỏi, sự yêu sách, sự thỉnh cầu
clap	/klæp/ vỗ, vỗ tay; tiếng nổ, tiếng vỗ tay
class	lớp học
classic	/'klæsik/ cổ điển, kinh điển
classroom	 lớp học, phòng học
clean	/kli:n/ sạch, sạch sẽ;
clear	lau chùi, quét dọn
clearly	rõ ràng, sáng sủa
clerk	thư ký, linh mục, mục sư
clever	lanh lợi, thông minh. tài giỏi, khéo léo
click	/klik/ làm thành tiếng lách cách; tiếng lách cách, cú nhắp (chuột)
client	khách hàng
climate	 khí hậu, thời tiết
climb	leo, trèo
climbing	sự leo trèo
clock	đồng hồ
close	/klouz/ đóng kín, chật chội, che đậy
close	đóng, khép, kết thúc, chấm dứt
closed	bảo thủ, không cởi mở, khép kín
closely	chặt chẽ, kỹ lưỡng, tỉ mỉ
closet	NAmE) /'klozit/  buồng, phòng để đồ, phòng kho
cloth	vải, khăn trải bàn, áo thầy tu
clothes	 quần áo
clothing	quần áo, y phục
cloud	mây, đám mây
club	câu lạc bộ; gậy, dùi cui
coach	 huấn luyện viên
coal	than đá
coast	sự lao dốc; bờ biển
coat	áo choàng
code	mật mã, luật, điều lệ
coffee	 cà phê
coin	tiền kim loại
cold	/kould/ lạnh, sự lạnh lẽo, lạnh nhạt
coldly	lạnh nhạt, hờ hững, vô tâm
collapse	/kз'læps/ đổ, sụp đổ; sự đổ nát, sự sụp đổ
colleague	bạn đồng nghiệp
collect	sưu tập, tập trung lại
collection	 sự sưu tập, sự tụ họp
college	 trường cao đẳng, trường đại học
colour	color) n., v. /'kʌlə/  màu sắc; tô màu
coloured	colored) adj. /´kʌləd/ mang màu sắc, có màu sắc
column	cột , mục (báo)
combination	sự kết hợp, sự phối hợp
combine	 kết hợp, phối hợp
come	 đến, tới, đi đến, đi tới
comedy	hài kịch
comfort	/'kΔmfзt/ sự an ủi, khuyên giải, lời động viên, sự an nhàn; dỗ dành, an ủi
comfortable	thoải mái, tiện nghi, đầy đủ
comfortably	dễ chịu, thoải mái, tiện nghi, ấm cúng
command	/kə'mɑ:nd/ ra lệnh, chỉ huy; lệnh, mệnh lệnh, quyền ra lệnh, quyền chỉ huy
comment	/ˈkɒment/  lời bình luận, lời chú giải; bình luận, phê bình, chú thích, dẫn giải
commercial	 buôn bán, thương mại
commission	/kəˈmɪʃən/ hội đồng, ủy ban, sự ủy nhiệm, sự ủy thác; ủy nhiệm, ủy thác
commit	giao, gửi, ủy nhiệm, ủy thác; tống giam, bỏ tù
commitment	 sự phạm tội, sự tận tụy, tận tâm
committee	ủy ban
common	 công, công cộng, thông thường, phổ biến
commonly	thông thường, bình thường
communicate	truyền, truyền đạt; giao thiệp, liên lạc
communication	 sự giao tiếp, liên lạc, sự truyền đạt, truyền tin
community	 dân chúng, nhân dân
company	công ty
compare	 so sánh, đối chiếu
comparison	 sự so sánh
compete	đua tranh, ganh đua, cạnh tranh
competition	sự cạnh tranh, cuộc thi, cuộc thi đấu
competitive	cạnh tranh, đua tranh
complain	phàn nàn, kêu ca
complaint	lời than phiền, than thở; sự khiếu nại, đơn kiện
complete	/kəm'pli:t/  hoàn thành, xong;
completely	hoàn thành, đầy đủ, trọn vẹn
complex	 phức tạp, rắc rối
complicate	 làm phức tạp, rắc rối
complicated	phức tạp, rắc rối
computer	máy tính
concentrate	tập trung
concentration	sự tập trung, nơi tập trung
concept	khái niệm
concern	/kәn'sз:n/ liên quan, dính líu tới; sự liên quan, sự dính líu tới
concerned	có liên quan, có dính líu
concerning	bâng khuâng, ái ngại
concert	 buổi hòa nhạc
conclude	kết luận, kết thúc, chấm dứt (công việc)
conclusion	 sự kết thúc, sự kết luận, phần kết luận
concrete	/'kɔnkri:t/ bằng bê tông; bê tông
condition	điều kiện, tình cảnh, tình thế
conduct	/'kɔndʌkt/or/kən'dʌkt/  điều khiển, chỉ đạo, chỉ huy; sự điều khiển, chỉ huy
conference	, ˈkɒnfrəns/ hội nghị, sự bàn bạc
confidence	 lòng tin tưởng, sự tin cậy
confident	 tin tưởng, tin cậy, tự tin
confidently	tự tin
confine	giam giữ, hạn chế
confined	hạn chế, giới hạn
confirm	xác nhận, chứng thực
conflict	/v. kənˈflɪkt ; n. ˈkɒnflɪkt/  xung đột, va chạm; sự xung đột, sự va chạm
confront	đối mặt, đối diện, đối chiếu
confuse	lộn xộn, xáo trộn
confused	bối rối, lúng túng, ngượng
confusing	khó hiểu, gây bối rối
confusion	sự lộn xộn, sự rối loạn
congratulations	sự chúc mừng, khen ngợi; lời chúc mừng, khen ngợi (s)
congress	 đại hội, hội nghị, Quốc hội
connect	kết nối, nối
connection	sự kết nối, sự giao kết
conscious	 tỉnh táo, có ý thức, biết rõ
consequence	 kết quả, hậu quả
conservative	thận trọng, dè dặt, bảo thủ
consider	cân nhắc, xem xét; để ý, quan tâm, lưu ý đến
considerable	lớn lao, to tát, đáng kể
considerably	đáng kể, lớn lao, nhiều
consideration	sự cân nhắc, sự xem xét, sự để ý, sự quan tâm
consist	/kən'sist/ gồm có
constant	 kiên trì, bền lòng
constantly	kiên định
construct	xây dựng
construction	sự xây dựng
consult	tra cứu, tham khảo, thăm dò, hỏi ý kiến
consumer	người tiêu dùng
contact	/ˈkɒntækt/  sự liên lạc, sự giao thiệp; tiếp xúc
contain	bao hàm, chứa đựng, bao gồm
container	cái đựng, chứa; công te nơ
contemporary	đương thời, đương đại
content	nội dung, sự hài lòng
contest	cuộc thi, trận đấu, cuộc tranh luận, cuộc chiến đấu, chiến tranh
context	văn cảnh,  khung cảnh, phạm vi
continent	lục địa, đại lục (lục địa Bắc Mỹ)
continue	tiếp tục, làm tiếp
continuous	liên tục, liên tiếp
continuously	liên tục, liên tiếp
contract	/'kɔntrækt/  hợp đồng, sự ký hợp đồng; ký kết
contrast	/kən'træst/ or /'kɔntræst / sự tương phản; làm tương phản, làm trái ngược
contrasting	tương phản
contribute	 đóng góp, ghóp phần
contribution	sự đóng góp, sự góp phần
control	s /kən'troul/  sự điều khiển, quyền hành, quyền lực, quyền chỉ huy
controlled	được điều khiển, được kiểm tra
convenient	tiện lợi, thuận lợi, thích hợp
convention	hội nghị, hiệp định, quy ước
conventional	quy ước
conversation	 cuộc đàm thoại, cuộc trò chuyện
convert	đổi, biến đổi
convince	làm cho tin, thuyết phục; làm cho nhận thức thấy
cook	/kʊk/  nấu ăn, người nấu ăn
cooker	/´kukə/ lò, bếp, nồi nấu
cookie	NAmE) /´kuki/ bánh quy
cooking	sự nấu ăn, cách nấu ăn
